Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0.0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1.0,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
2.0,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
3.0,Fungal infection,itching, skin_rash, dischromic _patches,
4.0,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
5.0,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
6.0,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
7.0,Fungal infection,itching, skin_rash, dischromic _patches,
8.0,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
9.0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
10.0,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
11.0,Allergy, shivering, chills, watering_from_eyes,
12.0,Allergy, continuous_sneezing, chills, watering_from_eyes,
13.0,Allergy, continuous_sneezing, shivering, watering_from_eyes,
14.0,Allergy, continuous_sneezing, shivering, chills,
15.0,Allergy, shivering, chills, watering_from_eyes,
16.0,Allergy, continuous_sneezing, chills, watering_from_eyes,
17.0,Allergy, continuous_sneezing, shivering, watering_from_eyes,
18.0,Allergy, continuous_sneezing, shivering, chills,
19.0,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
20.0,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
21.0,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
22.0,GERD, stomach_pain, acidity, vomiting, cough
23.0,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
24.0,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
25.0,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
26.0,GERD, acidity, ulcers_on_tongue, vomiting, cough
27.0,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
28.0,GERD, stomach_pain, acidity, vomiting, cough
29.0,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
