disease,symptom_1,symptom_2,symptom_3,symptom_4
Pneumonia,sweating,chills,chest pain,
Anemia,cold hands and feet,weakness,pale skin,
Diabetes,,blurred vision,unexplained weight loss,fatigue
Typhoid,,loss of appetite,,weakness
Diabetes,,fatigue,,unexplained weight loss
Malaria,muscle pain,chills,fever,sweating
Dengue,,,severe headache,high fever
Hypertension,chest pain,,headache,shortness of breath
Hypertension,headache,chest pain,dizziness,nosebleeds
Viral Fever,,sweating,mild cough,
Pneumonia,cough,difficulty breathing,sweating,
Allergy,rash,runny nose,itchy eyes,sneezing
Malaria,,chills,muscle pain,fever
Dengue,nausea,loss of appetite,muscle pain,severe headache
Malaria,fever,nausea,sweating,
Acid Peptic Disease,,heartburn,vomiting,
Typhoid,headache,rash,diarrhea,stomach pain
Gastroenteritis,,nausea,muscle ache,fever
Acid Peptic Disease,indigestion,loss of appetite,stomach pain,nausea
Gastroenteritis,,nausea,,muscle ache
Typhoid,loss of appetite,,,high fever
Malaria,nausea,,cold hands and feet,fever
Gastroenteritis,,,muscle ache,fever
Acid Peptic Disease,,vomiting,nausea,
Typhoid,stomach pain,rash,weakness,
Gastroenteritis,,,diarrhea,fever
Malaria,,vomiting,chills,muscle pain
Anemia,fatigue,,chest pain,
Diabetes,fatigue,unexplained weight loss,,
Asthma,chest pain,,,fatigue
Common Cold,sneezing,,runny nose,headache
Anemia,dizziness,fatigue,weakness,headache
Pneumonia,fatigue,,fever,difficulty breathing
Hypertension,chest pain,headache,nosebleeds,blurred vision
Anemia,,weakness,dizziness,
Pneumonia,chest pain,fever,sweating,difficulty breathing
Typhoid,high fever,,,diarrhea
Viral Fever,,,fever,chills
Viral Fever,sweating,,fever,
Malaria,muscle pain,sweating,nausea,
Viral Fever,sweating,,chills,
Allergy,rash,,sneezing,itchy eyes
Hypertension,blurred vision,dizziness,chest pain,nosebleeds
Acid Peptic Disease,heartburn,loss of appetite,,indigestion
Diabetes,extreme hunger,frequent urination,,increased thirst
Common Cold,,,fatigue,runny nose
Pneumonia,fever,,,difficulty breathing
Malaria,sweating,muscle pain,headache,chills
Pneumonia,cough,chest pain,chills,difficulty breathing
COVID-19,fever,difficulty breathing,loss of smell,cough
COVID-19,fatigue,fever,loss of taste,
Migraine,vomiting,dizziness,,headache
Diabetes,frequent urination,,blurred vision,
Gastroenteritis,,,fever,nausea
Dengue,high fever,,rash,joint pain
COVID-19,loss of smell,,,fever
Diabetes,,unexplained weight loss,frequent urination,fatigue
Viral Fever,headache,chills,mild cough,fever
Acid Peptic Disease,indigestion,heartburn,nausea,vomiting
Common Cold,congestion,,sneezing,
Allergy,sneezing,rash,cough,runny nose
Typhoid,stomach pain,weakness,rash,high fever
Viral Fever,,fatigue,body ache,fever
COVID-19,,fatigue,fever,loss of smell
Malaria,,,headache,nausea
Acid Peptic Disease,vomiting,heartburn,fever,indigestion
Asthma,,,difficulty breathing,chest pain
Anemia,cold hands and feet,,,headache
Asthma,cough,,chest pain,wheezing
Typhoid,diarrhea,,stomach pain,
Common Cold,sneezing,,cough,
Gastroenteritis,wheezing,fever,vomiting,
Acid Peptic Disease,nausea,vomiting,stomach pain,heartburn
Pneumonia,chills,sweating,fever,chest pain
Malaria,chills,headache,,
Allergy,,itchy eyes,,cough
Asthma,shortness of breath,,,difficulty breathing
Anemia,headache,fatigue,,weakness
Gastroenteritis,,headache,stomach pain,vomiting
Gastroenteritis,stomach pain,headache,nausea,
Diabetes,fatigue,,,blurred vision
Gastroenteritis,vomiting,muscle ache,diarrhea,stomach pain
Typhoid,headache,diarrhea,loss of appetite,weakness
Acid Peptic Disease,heartburn,indigestion,vomiting,
Viral Fever,chills,headache,sweating,fever
Pneumonia,sweating,difficulty breathing,chest pain,
Typhoid,rash,,diarrhea,
Malaria,,vomiting,chills,nausea
Anemia,cold hands and feet,fatigue,,weakness
Dengue,vomiting,high fever,muscle pain,joint pain
Common Cold,headache,cough,fatigue,
Viral Fever,chills,body ache,,
Dengue,,,rash,nausea
Allergy,,,cough,rash
COVID-19,loss of taste,fever,,
Pneumonia,difficulty breathing,chills,sweating,fever
Dengue,rash,,muscle pain,
Migraine,blurred vision,,vomiting,nausea
Viral Fever,chills,body ache,fatigue,fever
Anemia,dizziness,weakness,fatigue,frequent urination
Malaria,,sweating,,muscle pain
Viral Fever,,fatigue,headache,
Migraine,,nausea,headache,sensitivity to sound
Common Cold,congestion,fatigue,cough,
Gastroenteritis,nausea,diarrhea,muscle ache,stomach pain
Gastroenteritis,headache,nausea,vomiting,diarrhea
COVID-19,,fever,loss of taste,
Migraine,sensitivity to light,nausea,headache,
Hypertension,headache,dizziness,,shortness of breath
Viral Fever,mild cough,chills,sweating,fatigue
Anemia,headache,weakness,fatigue,chest pain
Gastroenteritis,vomiting,fever,stomach pain,headache
Gastroenteritis,,vomiting,,nausea
Anemia,fatigue,dizziness,weakness,cold hands and feet
Allergy,cough,shortness of breath,rash,sneezing
Allergy,rash,,,sneezing
Common Cold,sneezing,,headache,cough
Anemia,chest pain,fatigue,dizziness,
Gastroenteritis,fever,,,nausea
COVID-19,,,cough,muscle pain
Allergy,itchy eyes,sneezing,rash,runny nose
Viral Fever,fatigue,chills,headache,sweating
Hypertension,shortness of breath,chest pain,dizziness,nosebleeds
Allergy,,,shortness of breath,runny nose
Anemia,headache,fatigue,,
Hypertension,dizziness,,,blurred vision
Malaria,muscle pain,,headache,
Typhoid,rash,diarrhea,stomach pain,
Gastroenteritis,fever,diarrhea,,
Dengue,severe headache,,nausea,rash
Hypertension,headache,chest pain,,blurred vision
Asthma,fatigue,difficulty breathing,,
Common Cold,cough,sneezing,runny nose,congestion
Gastroenteritis,diarrhea,,headache,vomiting
Diabetes,fatigue,increased thirst,unexplained weight loss,
Anemia,,pale skin,fatigue,chest pain
Viral Fever,sweating,fatigue,,
COVID-19,loss of smell,fatigue,,
Asthma,shortness of breath,wheezing,cough,
Migraine,,dizziness,headache,sensitivity to sound
Common Cold,headache,runny nose,fatigue,
Acid Peptic Disease,,vomiting,loss of appetite,
Viral Fever,mild cough,chills,,loss of smell
Pneumonia,difficulty breathing,fever,cough,fatigue
Diabetes,,,extreme hunger,increased thirst
Allergy,rash,shortness of breath,cough,itchy eyes
Migraine,nausea,,sensitivity to sound,
COVID-19,muscle pain,,difficulty breathing,loss of smell
Allergy,rash,itchy eyes,cough,shortness of breath
Gastroenteritis,stomach pain,nausea,headache,fever
Gastroenteritis,nausea,fever,diarrhea,muscle ache
Migraine,blurred vision,vomiting,nausea,dizziness
Anemia,weakness,cold hands and feet,dizziness,headache
Allergy,runny nose,rash,shortness of breath,sneezing
Asthma,shortness of breath,wheezing,chest pain,mild cough
Common Cold,,,congestion,sneezing
Diabetes,extreme hunger,fatigue,frequent urination,blurred vision
Diabetes,,unexplained weight loss,fatigue,blurred vision
Pneumonia,,difficulty breathing,sweating,fever
Gastroenteritis,nausea,headache,muscle ache,fever
Diabetes,frequent urination,,extreme hunger,increased thirst
Viral Fever,,,mild cough,sweating
Hypertension,nosebleeds,blurred vision,extreme hunger,shortness of breath
Acid Peptic Disease,heartburn,,nausea,indigestion
Common Cold,,sneezing,,fatigue
Asthma,shortness of breath,wheezing,,
Diabetes,unexplained weight loss,,fatigue,extreme hunger
Viral Fever,fever,sweating,,mild cough
Malaria,vomiting,,headache,muscle pain
Typhoid,rash,high fever,diarrhea,
Anemia,,,headache,weakness
COVID-19,muscle pain,cough,,
COVID-19,difficulty breathing,,loss of taste,fatigue
Gastroenteritis,stomach pain,,,fever
Malaria,fever,nausea,chills,muscle pain
Allergy,runny nose,shortness of breath,cough,rash
Typhoid,headache,weakness,,rash
Typhoid,headache,weakness,stomach pain,dizziness
Acid Peptic Disease,stomach pain,loss of smell,indigestion,nausea
Common Cold,congestion,cough,runny nose,sore throat
Migraine,vomiting,blurred vision,sensitivity to sound,sensitivity to light
Pneumonia,,chest pain,fever,
Diabetes,blurred vision,extreme hunger,fatigue,unexplained weight loss
Anemia,cold hands and feet,pale skin,,
Malaria,headache,fever,sweating,chills
Gastroenteritis,,headache,nausea,fever
Diabetes,,fatigue,unexplained weight loss,
Anemia,fatigue,weakness,headache,cold hands and feet
Acid Peptic Disease,indigestion,heartburn,,stomach pain
Dengue,vomiting,high fever,joint pain,nausea
Migraine,sensitivity to light,nausea,vomiting,sensitivity to sound
Allergy,,runny nose,rash,cough
Anemia,chest pain,cold hands and feet,dizziness,pale skin
Pneumonia,fatigue,chest pain,fever,
Hypertension,nosebleeds,headache,shortness of breath,chest pain
Dengue,vomiting,rash,nausea,
Gastroenteritis,vomiting,headache,fever,
Common Cold,,runny nose,headache,cough
Malaria,chills,sweating,muscle pain,vomiting
Asthma,cough,chest pain,shortness of breath,difficulty breathing
Common Cold,congestion,sore throat,runny nose,headache
Gastroenteritis,headache,muscle ache,fever,vomiting
Migraine,sensitivity to light,nausea,vomiting,blurred vision
Typhoid,diarrhea,,,headache
Migraine,nausea,,dizziness,
Allergy,rash,,runny nose,
Anemia,fatigue,chest pain,,
Malaria,,,nausea,chills
Typhoid,high fever,stomach pain,rash,headache
Gastroenteritis,vomiting,diarrhea,headache,fever
COVID-19,difficulty breathing,muscle pain,,cough
Allergy,itchy eyes,shortness of breath,rash,cough
Malaria,vomiting,sweating,chest pain,
Pneumonia,cough,fatigue,sweating,chills
Migraine,vomiting,headache,,dizziness
Typhoid,,loss of appetite,diarrhea,weakness
Common Cold,runny nose,headache,fatigue,sore throat
Diabetes,frequent urination,blurred vision,fatigue,extreme hunger
Pneumonia,,,fever,sweating
Malaria,vomiting,chills,muscle pain,
Allergy,cough,shortness of breath,,rash
Allergy,,cough,,rash
COVID-19,cough,loss of taste,muscle pain,loss of smell
Allergy,sneezing,itchy eyes,cough,
Viral Fever,mild cough,body ache,headache,fatigue
Gastroenteritis,fever,,,vomiting
Pneumonia,sweating,fever,difficulty breathing,chills
Acid Peptic Disease,heartburn,loss of appetite,congestion,nausea
Malaria,chills,vomiting,muscle pain,nausea
Diabetes,,extreme hunger,,increased thirst
Acid Peptic Disease,stomach pain,loss of appetite,vomiting,nausea
Hypertension,chest pain,,,shortness of breath
Diabetes,blurred vision,unexplained weight loss,extreme hunger,frequent urination
Pneumonia,,chills,chest pain,fatigue
Asthma,difficulty breathing,wheezing,shortness of breath,
Hypertension,nosebleeds,,headache,blurred vision
Gastroenteritis,stomach pain,vomiting,muscle ache,
Allergy,runny nose,cough,sneezing,itchy eyes
Typhoid,weakness,loss of appetite,headache,stomach pain
Allergy,runny nose,shortness of breath,itchy eyes,sneezing
Hypertension,dizziness,shortness of breath,chest pain,blurred vision
Diabetes,increased thirst,blurred vision,unexplained weight loss,extreme hunger
Viral Fever,body ache,fever,mild cough,sweating
Pneumonia,,sweating,difficulty breathing,cough
Anemia,chest pain,weakness,cold hands and feet,dizziness
Migraine,,headache,sensitivity to sound,nausea
Pneumonia,,chest pain,,chills
Hypertension,chest pain,dizziness,shortness of breath,headache
Viral Fever,,fever,mild cough,body ache
Hypertension,shortness of breath,headache,,
Typhoid,,loss of appetite,stomach pain,rash
Gastroenteritis,,fever,,nausea
Acid Peptic Disease,stomach pain,,loss of appetite,nausea
Common Cold,congestion,,fatigue,runny nose
Diabetes,unexplained weight loss,fatigue,,extreme hunger
Acid Peptic Disease,stomach pain,indigestion,vomiting,
Asthma,cough,itchy eyes,difficulty breathing,wheezing
Acid Peptic Disease,nausea,heartburn,,indigestion
Common Cold,runny nose,sneezing,cough,
Migraine,nausea,sensitivity to sound,blurred vision,headache
Asthma,cough,chest pain,shortness of breath,fatigue
Pneumonia,fever,fatigue,chest pain,sweating
Common Cold,congestion,cough,sneezing,fatigue
Gastroenteritis,vomiting,nausea,,
Common Cold,headache,sore throat,sneezing,
Diabetes,unexplained weight loss,,frequent urination,
Migraine,blurred vision,sensitivity to sound,dizziness,vomiting
Anemia,cold hands and feet,chest pain,,indigestion
Asthma,wheezing,shortness of breath,,cough
Migraine,,sensitivity to light,,dizziness
Common Cold,congestion,sore throat,,runny nose
Diabetes,fatigue,increased thirst,,
Typhoid,,weakness,rash,high fever
Allergy,sneezing,cough,runny nose,shortness of breath
Pneumonia,fatigue,cough,chest pain,fever
Hypertension,headache,,blurred vision,
Migraine,headache,nausea,blurred vision,dizziness
Malaria,,fever,headache,nausea
Migraine,blurred vision,,sensitivity to sound,
Anemia,,fatigue,headache,pale skin
COVID-19,difficulty breathing,loss of taste,fatigue,muscle pain
Anemia,,chest pain,fatigue,dizziness
